gaze_offset_avg,gaze_offset_std,gaze_away_pct,face_absent_pct,multi_face_count,head_pose_variance,answer_delay_sec,eye_movement_speed,label
0.1369,0.0785,18.2155,5.1022,0,0.0863,3.1329,0.02,0
0.1935,0.0287,73.8267,5.6701,0,0.0489,13.8148,0.149,1
0.2765,0.0375,73.1191,14.1417,0,0.0486,19.3124,0.1261,1
0.2704,0.029,43.3706,10.1312,1,0.0484,11.9556,0.1117,1
0.096,0.0361,1.6788,4.3833,1,0.0465,2.5408,0.0141,0
0.3697,0.0297,67.8477,2.1141,0,0.0475,20.6854,0.0692,1
0.2469,0.0364,78.4841,7.4488,1,0.0405,16.7007,0.1478,1
0.0963,0.0617,24.4101,4.6845,0,0.0319,8.5157,0.0208,0
0.2473,0.1101,33.3906,9.1872,9,0.0625,18.0925,0.0556,1
0.0615,0.052,12.7681,1.9966,0,0.0798,5.426,0.0204,0
0.1833,0.079,63.629,40.7166,0,0.1145,16.5001,0.0564,1
0.0817,0.0288,5.7649,0.1182,0,0.048,4.4738,0.0109,0
0.3185,0.0223,53.3464,11.773,0,0.0356,11.3149,0.142,1
0.2876,0.045,36.9601,4.1063,0,0.0602,12.7252,0.1262,1
0.1531,0.0285,66.5887,6.9766,1,0.0723,3.3429,0.1526,1
0.2444,0.1023,40.3304,10.0886,7,0.0888,17.8826,0.0589,1
0.0912,0.0616,9.2723,0.1921,0,0.0239,2.1232,0.0089,0
0.2456,0.0681,43.0151,9.2582,11,0.0555,19.0499,0.0621,1
0.207,0.0619,43.988,35.5766,0,0.1873,19.1955,0.1125,1
0.04,0.0401,0.9053,1.9097,0,0.0344,2.2548,0.0297,0
0.0576,0.0681,9.6051,6.05,1,0.083,9.1581,0.0283,0
0.0716,0.0446,9.5101,3.9502,0,0.0297,7.7551,0.0284,0
0.0215,0.0362,2.7147,1.0676,0,0.0194,6.5493,0.0222,0
0.1352,0.0647,12.987,2.4622,0,0.0647,7.2525,0.0565,0
0.0639,0.0656,6.3927,0.7601,0,0.0322,4.0381,0.0148,0
0.0778,0.0726,5.5279,4.433,0,0.0446,7.6604,0.0327,0
0.0709,0.0367,14.5365,1.6169,0,0.0458,1.922,0.0281,0
0.2308,0.0315,67.3742,9.3539,0,0.0581,12.669,0.0816,1
0.2085,0.0522,38.5332,3.6456,0,0.0577,12.4726,0.1481,1
0.1956,0.0245,54.2022,10.8088,0,0.0446,4.1287,0.1565,1
0.0708,0.0251,5.189,0.6075,0,0.0153,4.8981,0.0252,0
0.0977,0.0426,8.8861,4.635,0,0.0306,6.2566,0.0164,0
0.2685,0.0104,61.2543,5.7706,1,0.05,10.3023,0.1159,1
0.0989,0.0468,12.95,1.4109,0,0.064,7.2168,0.0287,0
0.0281,0.0424,14.5709,4.0889,0,0.0413,1.1269,0.0151,0
0.091,0.0293,11.2448,4.8156,0,0.0663,7.7031,0.0111,0
0.339,0.0242,42.2924,14.7006,0,0.0288,21.3378,0.102,1
0.0995,0.0566,21.8121,2.7047,0,0.0487,4.9754,0.0297,0
0.32,0.0289,47.4737,3.2676,0,0.0374,14.1731,0.1147,1
0.046,0.0572,9.4126,4.5001,0,0.049,6.0003,0.0287,0
0.0536,0.0643,9.8806,3.9936,0,0.0648,2.1295,0.0342,0
0.0618,0.0601,3.3073,1.3708,0,0.0363,7.0385,0.0198,0
0.022,0.0275,8.2139,1.3252,0,0.0665,6.8654,0.036,0
0.307,0.0556,51.8038,8.5761,0,0.0552,7.4917,0.1645,1
0.0268,0.0753,10.5971,0.0605,0,0.0107,7.6697,0.0321,0
0.072,0.0633,14.7999,2.188,0,0.0551,5.5862,0.0133,0
0.2411,0.0535,42.8596,8.8787,0,0.068,5.8611,0.092,1
0.3223,0.0353,53.5688,5.2616,1,0.0224,10.9591,0.0909,1
0.0265,0.0546,10.1015,0.3853,0,0.0183,2.1892,0.0338,0
0.2432,0.0696,31.2869,7.8433,7,0.0787,13.7841,0.0752,1
0.1025,0.0552,14.4596,3.0982,0,0.0672,4.5045,0.044,0
0.2091,0.1025,29.1711,16.9842,4,0.0555,6.1268,0.0754,1
0.0992,0.0387,11.9634,4.2218,0,0.0637,4.0978,0.0061,0
0.099,0.0806,24.7847,7.6365,0,0.1167,10.5236,0.0239,0
0.0493,0.0705,14.5659,0.5071,0,0.0369,6.1933,0.0159,0
